date,region,resource_type,usage_cpu,usage_storage,users_active,econ_index,cloud_market_demand,holiday
2023-01-08,northeurope,Container,69,753,426,82.75,0.94,True
2023-01-09,southeastasia,VM,77,1378,346,89.87,1.03,False
2023-01-09,westus,Storage,82,1187,221,89.87,1.03,False
2023-01-09,westus,VM,52,900,327,89.87,1.03,False
2023-01-09,southeastasia,Container,98,516,371,89.87,1.03,False
2023-01-09,southeastasia,Storage,53,1046,391,89.87,1.03,False
2023-01-09,westus,Container,95,537,429,89.87,1.03,False
2023-01-09,northeurope,Container,70,1297,296,89.87,1.03,False
2023-01-09,northeurope,VM,94,1062,463,89.87,1.03,False
2023-01-09,eastus,Container,97,1915,334,89.87,1.03,False
2023-01-09,eastus,Storage,82,897,476,89.87,1.03,False
2023-01-09,eastus,VM,85,660,267,89.87,1.03,False
2023-01-09,northeurope,Storage,76,526,425,89.87,1.03,False
2023-01-10,westus,Container,70,1427,360,90.92,0.86,False
2023-01-10,westus,Storage,82,1639,390,90.92,0.86,False
2023-01-10,westus,VM,80,1622,387,90.92,0.86,False
2023-01-10,southeastasia,Container,89,1916,498,90.92,0.86,False
2023-01-10,southeastasia,Storage,51,654,472,90.92,0.86,False
2023-01-10,southeastasia,VM,99,1811,350,90.92,0.86,False
2023-01-10,northeurope,Storage,74,1065,257,90.92,0.86,False
2023-01-10,northeurope,VM,52,627,217,90.92,0.86,False
2023-01-10,eastus,Container,86,779,380,90.92,0.86,False
2023-01-10,eastus,Storage,55,598,432,90.92,0.86,False
2023-01-10,eastus,VM,77,657,245,90.92,0.86,False
2023-01-10,northeurope,Container,52,1185,479,90.92,0.86,False
2023-01-11,southeastasia,Storage,71,804,379,114.66,0.98,False
2023-01-11,westus,Container,61,970,342,114.66,0.98,False
2023-01-11,westus,Storage,95,899,341,114.66,0.98,False
2023-01-11,westus,VM,69,820,463,114.66,0.98,False
2023-01-11,southeastasia,Container,91,1337,470,114.66,0.98,False
2023-01-11,southeastasia,VM,71,813,257,114.66,0.98,False
2023-01-11,eastus,VM,97,1562,369,114.66,0.98,False
2023-01-11,northeurope,Storage,72,1353,250,114.66,0.98,False
2023-01-11,northeurope,VM,77,1877,487,114.66,0.98,False
2023-01-11,eastus,Container,56,535,372,114.66,0.98,False
2023-01-11,eastus,Storage,75,1420,212,114.66,0.98,False
2023-01-11,northeurope,Container,74,1074,389,114.66,0.98,False
2023-01-12,southeastasia,Storage,50,1301,295,100.68,0.86,False
2023-01-12,westus,Container,62,869,323,100.68,0.86,False
2023-01-12,westus,Storage,84,1322,343,100.68,0.86,False
2023-01-12,westus,VM,53,1273,246,100.68,0.86,False
2023-01-12,southeastasia,Container,97,987,436,100.68,0.86,False
2023-01-12,southeastasia,VM,58,1512,328,100.68,0.86,False
2023-01-12,eastus,Container,93,504,302,100.68,0.86,False
2023-01-12,northeurope,Storage,68,1581,428,100.68,0.86,False
2023-01-12,northeurope,VM,91,1156,319,100.68,0.86,False
2023-01-12,northeurope,Container,75,616,478,100.68,0.86,False
2023-01-12,eastus,Storage,82,763,252,100.68,0.86,False
2023-01-12,eastus,VM,92,943,300,100.68,0.86,False
2023-01-13,westus,Storage,65,1958,285,94.56,1.01,False
2023-01-13,westus,VM,52,1599,353,94.56,1.01,False
2023-01-13,southeastasia,Container,59,1623,489,94.56,1.01,False
2023-01-13,southeastasia,Storage,79,856,222,94.56,1.01,False
2023-01-13,southeastasia,VM,85,1812,453,94.56,1.01,False
2023-01-13,westus,Container,78,1743,268,94.56,1.01,False
2023-01-13,northeurope,Storage,95,1457,403,94.56,1.01,False
2023-01-13,northeurope,VM,96,1508,293,94.56,1.01,False
2023-01-13,eastus,Container,71,1360,446,94.56,1.01,False
2023-01-13,eastus,Storage,88,1203,268,94.56,1.01,False
2023-01-13,eastus,VM,50,1795,388,94.56,1.01,False
2023-01-13,northeurope,Container,65,717,238,94.56,1.01,False
2023-01-14,westus,Container,61,1189,362,88.49,1.04,True
2023-01-14,westus,Storage,76,1351,351,88.49,1.04,True
2023-01-14,westus,VM,51,996,359,88.49,1.04,True
2023-01-14,southeastasia,Container,99,534,414,88.49,1.04,True
2023-01-14,southeastasia,Storage,80,1825,452,88.49,1.04,True
2023-01-14,southeastasia,VM,93,784,211,88.49,1.04,True
2023-01-14,northeurope,Container,82,1691,242,88.49,1.04,True
2023-01-14,northeurope,VM,82,1456,378,88.49,1.04,True
2023-01-14,eastus,Container,65,1291,446,88.49,1.04,True
2023-01-14,eastus,Storage,81,1268,203,88.49,1.04,True
2023-01-14,eastus,VM,80,1261,346,88.49,1.04,True
2023-01-14,northeurope,Storage,92,1791,264,88.49,1.04,True
2023-01-15,southeastasia,Container,98,778,416,93.99,0.97,True
2023-01-15,westus,Container,70,1520,448,93.99,0.97,True
2023-01-15,westus,Storage,94,1598,416,93.99,0.97,True
2023-01-15,westus,VM,56,1719,313,93.99,0.97,True
2023-01-15,southeastasia,Storage,81,536,467,93.99,0.97,True
2023-01-15,southeastasia,VM,73,1162,389,93.99,0.97,True
2023-01-15,northeurope,Storage,84,1622,235,93.99,0.97,True
2023-01-15,northeurope,VM,85,1917,391,93.99,0.97,True
2023-01-15,eastus,Container,83,614,304,93.99,0.97,True
2023-01-15,eastus,Storage,78,1469,289,93.99,0.97,True
2023-01-15,eastus,VM,66,589,463,93.99,0.97,True
2023-01-15,northeurope,Container,67,1508,295,93.99,0.97,True
2023-01-16,westus,Container,68,575,464,93.98,1.19,False
2023-01-16,westus,Storage,61,944,432,93.98,1.19,False
2023-01-16,southeastasia,Container,91,1709,422,93.98,1.19,False
2023-01-16,southeastasia,Storage,88,608,380,93.98,1.19,False
2023-01-16,southeastasia,VM,70,1674,343,93.98,1.19,False
2023-01-16,westus,VM,68,676,299,93.98,1.19,False
2023-01-16,northeurope,Storage,68,1890,343,93.98,1.19,False
2023-01-16,northeurope,VM,56,1217,422,93.98,1.19,False
2023-01-16,eastus,Container,97,1228,386,93.98,1.19,False
2023-01-16,eastus,Storage,66,561,283,93.98,1.19,False
2023-01-16,eastus,VM,84,1372,485,93.98,1.19,False
2023-01-16,northeurope,Container,54,1622,224,93.98,1.19,False
2023-01-17,westus,Container,89,669,482,99.87,0.89,False
2023-01-17,westus,Storage,87,1697,340,99.87,0.89,False
2023-01-17,westus,VM,59,1453,452,99.87,0.89,False
2023-01-17,southeastasia,Container,80,944,381,99.87,0.89,False
2023-01-17,southeastasia,Storage,85,1593,451,99.87,0.89,False
2023-01-17,southeastasia,VM,56,716,331,99.87,0.89,False
2023-01-17,northeurope,VM,51,528,364,99.87,0.89,False
2023-01-17,northeurope,Storage,87,838,335,99.87,0.89,False
2023-01-17,eastus,Container,96,1087,208,99.87,0.89,False
2023-01-17,eastus,Storage,78,734,345,99.87,0.89,False
2023-01-17,eastus,VM,54,1686,414,99.87,0.89,False
2023-01-17,northeurope,Container,97,1888,344,99.87,0.89,False
2023-01-18,southeastasia,Container,86,1750,346,108.23,0.88,False
2023-01-18,westus,VM,99,1743,325,108.23,0.88,False
2023-01-18,southeastasia,Storage,70,702,451,108.23,0.88,False
2023-01-18,westus,Container,52,847,389,108.23,0.88,False
2023-01-18,westus,Storage,69,975,200,108.23,0.88,False
2023-01-18,southeastasia,VM,96,1672,279,108.23,0.88,False
2023-01-18,eastus,VM,88,590,401,108.23,0.88,False
2023-01-18,northeurope,Storage,55,557,243,108.23,0.88,False
2023-01-18,northeurope,VM,98,1932,316,108.23,0.88,False
2023-01-18,eastus,Container,52,672,340,108.23,0.88,False
2023-01-18,eastus,Storage,75,538,325,108.23,0.88,False
2023-01-18,northeurope,Container,94,1171,372,108.23,0.88,False
2023-01-19,westus,Container,57,857,355,102.09,0.8,False
2023-01-19,westus,Storage,59,1235,471,102.09,0.8,False
2023-01-19,westus,VM,52,1155,211,102.09,0.8,False
2023-01-19,southeastasia,Container,62,1231,439,102.09,0.8,False
2023-01-19,southeastasia,Storage,58,1428,411,102.09,0.8,False
2023-01-19,southeastasia,VM,85,1001,344,102.09,0.8,False
2023-01-19,northeurope,Storage,75,1197,377,102.09,0.8,False
2023-01-19,northeurope,VM,57,1645,363,102.09,0.8,False
2023-01-19,eastus,Container,64,1938,200,102.09,0.8,False
2023-01-19,eastus,Storage,90,1828,213,102.09,0.8,False
2023-01-19,eastus,VM,69,1964,246,102.09,0.8,False
2023-01-19,northeurope,Container,77,1231,240,102.09,0.8,False
2023-01-20,southeastasia,Storage,90,1622,205,86.72,1.02,False
2023-01-20,westus,Container,82,873,264,86.72,1.02,False
2023-01-20,westus,Storage,94,1528,318,86.72,1.02,False
2023-01-20,westus,VM,79,1765,450,86.72,1.02,False
2023-01-20,southeastasia,Container,77,1208,332,86.72,1.02,False
2023-01-20,southeastasia,VM,98,1984,297,86.72,1.02,False
2023-01-20,eastus,VM,78,1408,245,86.72,1.02,False
2023-01-20,northeurope,Storage,98,1352,481,86.72,1.02,False
2023-01-20,northeurope,VM,67,723,438,86.72,1.02,False
2023-01-20,eastus,Container,54,949,209,86.72,1.02,False
2023-01-20,eastus,Storage,84,1776,281,86.72,1.02,False
2023-01-20,northeurope,Container,74,1326,482,86.72,1.02,False
2023-01-21,southeastasia,Storage,50,1577,435,107.38,1.02,True
2023-01-21,westus,Container,50,1380,487,107.38,1.02,True
2023-01-21,westus,Storage,94,1216,459,107.38,1.02,True
2023-01-21,westus,VM,70,1601,200,107.38,1.02,True
2023-01-21,southeastasia,Container,54,1489,421,107.38,1.02,True
2023-01-21,southeastasia,VM,52,1829,467,107.38,1.02,True
2023-01-21,eastus,VM,87,1270,222,107.38,1.02,True
2023-01-21,northeurope,Storage,57,653,449,107.38,1.02,True
2023-01-21,northeurope,VM,83,1871,294,107.38,1.02,True
2023-01-21,eastus,Container,59,582,344,107.38,1.02,True
2023-01-21,eastus,Storage,86,1176,401,107.38,1.02,True
2023-01-21,northeurope,Container,83,937,317,107.38,1.02,True
2023-01-22,westus,Container,87,1829,297,98.84,0.97,True
2023-01-22,westus,Storage,87,1263,425,98.84,0.97,True
2023-01-22,westus,VM,60,934,302,98.84,0.97,True
2023-01-22,southeastasia,Container,69,1483,268,98.84,0.97,True
2023-01-22,southeastasia,Storage,66,1853,472,98.84,0.97,True
2023-01-22,southeastasia,VM,78,1399,337,98.84,0.97,True
2023-01-22,northeurope,Storage,87,1483,229,98.84,0.97,True
2023-01-22,northeurope,VM,67,1297,448,98.84,0.97,True
2023-01-22,eastus,Container,86,1352,265,98.84,0.97,True
2023-01-22,eastus,Storage,96,1418,406,98.84,0.97,True
2023-01-22,eastus,VM,66,1123,454,98.84,0.97,True
2023-01-22,northeurope,Container,91,580,332,98.84,0.97,True
2023-01-23,southeastasia,Storage,91,1033,200,85.21,0.93,False
2023-01-23,westus,Container,53,859,383,85.21,0.93,False
2023-01-23,westus,Storage,60,1897,207,85.21,0.93,False
2023-01-23,westus,VM,72,1706,294,85.21,0.93,False
2023-01-23,southeastasia,Container,54,732,211,85.21,0.93,False
2023-01-23,southeastasia,VM,68,1528,291,85.21,0.93,False
2023-01-23,eastus,Container,60,610,448,85.21,0.93,False
2023-01-23,northeurope,Storage,76,592,359,85.21,0.93,False
2023-01-23,eastus,VM,83,552,404,85.21,0.93,False
2023-01-23,eastus,Storage,92,542,439,85.21,0.93,False
2023-01-23,northeurope,Container,99,560,321,85.21,0.93,False
2023-01-23,northeurope,VM,74,1718,394,85.21,0.93,False
2023-01-24,westus,Container,97,836,225,95.39,1.11,False
2023-01-24,westus,Storage,96,1579,306,95.39,1.11,False
2023-01-24,westus,VM,96,1644,413,95.39,1.11,False
2023-01-24,southeastasia,Storage,72,577,415,95.39,1.11,False
2023-01-24,southeastasia,VM,71,1025,227,95.39,1.11,False
2023-01-24,southeastasia,Container,51,864,353,95.39,1.11,False
2023-01-24,northeurope,Storage,98,1776,379,95.39,1.11,False
2023-01-24,northeurope,VM,85,1780,207,95.39,1.11,False
2023-01-24,eastus,Container,94,1596,481,95.39,1.11,False
2023-01-24,eastus,Storage,98,1601,417,95.39,1.11,False
2023-01-24,eastus,VM,75,1569,233,95.39,1.11,False
2023-01-24,northeurope,Container,64,802,326,95.39,1.11,False
2023-01-25,southeastasia,Storage,90,608,345,103.44,0.82,False
2023-01-25,westus,Container,59,1562,472,103.44,0.82,False
2023-01-25,westus,Storage,74,984,227,103.44,0.82,False
2023-01-25,westus,VM,84,1538,391,103.44,0.82,False
2023-01-25,southeastasia,Container,96,727,310,103.44,0.82,False
2023-01-25,southeastasia,VM,53,1917,266,103.44,0.82,False
2023-01-25,eastus,Storage,52,1418,437,103.44,0.82,False
2023-01-25,northeurope,Storage,93,1036,344,103.44,0.82,False
2023-01-25,northeurope,VM,88,585,325,103.44,0.82,False
2023-01-25,eastus,Container,92,1797,493,103.44,0.82,False
2023-01-25,eastus,VM,63,1198,206,103.44,0.82,False
2023-01-25,northeurope,Container,62,1735,224,103.44,0.82,False
2023-01-26,southeastasia,Storage,89,728,235,103.24,0.96,False
2023-01-26,westus,Container,82,1960,349,103.24,0.96,False
2023-01-26,westus,Storage,83,1966,428,103.24,0.96,False
2023-01-26,westus,VM,55,1191,481,103.24,0.96,False
2023-01-26,southeastasia,VM,52,742,230,103.24,0.96,False
2023-01-26,southeastasia,Container,73,1746,205,103.24,0.96,False
2023-01-26,northeurope,Storage,79,1342,294,103.24,0.96,False
2023-01-26,northeurope,VM,70,1123,203,103.24,0.96,False
2023-01-26,northeurope,Container,73,1322,336,103.24,0.96,False
2023-01-26,eastus,Container,68,924,300,103.24,0.96,False
2023-01-26,eastus,Storage,57,1892,435,103.24,0.96,False
2023-01-26,eastus,VM,71,533,310,103.24,0.96,False
2023-01-27,westus,Storage,57,1549,372,93.23,1.06,False
2023-01-27,westus,VM,51,1346,402,93.23,1.06,False
2023-01-27,southeastasia,Container,82,1401,377,93.23,1.06,False
2023-01-27,southeastasia,Storage,86,638,458,93.23,1.06,False
2023-01-27,southeastasia,VM,63,819,237,93.23,1.06,False
2023-01-27,westus,Container,93,825,317,93.23,1.06,False
2023-01-27,northeurope,Storage,69,612,339,93.23,1.06,False
2023-01-27,northeurope,VM,53,1223,424,93.23,1.06,False
2023-01-27,eastus,Container,98,1003,261,93.23,1.06,False
2023-01-27,eastus,Storage,60,503,333,93.23,1.06,False
2023-01-27,eastus,VM,51,967,419,93.23,1.06,False
2023-01-27,northeurope,Container,96,500,289,93.23,1.06,False
2023-01-28,westus,Container,84,1618,268,110.31,1.09,True
2023-01-28,westus,Storage,60,1410,237,110.31,1.09,True
2023-01-28,westus,VM,58,1284,464,110.31,1.09,True
2023-01-28,southeastasia,Container,70,1688,204,110.31,1.09,True
2023-01-28,southeastasia,Storage,63,1297,490,110.31,1.09,True
2023-01-28,southeastasia,VM,78,1372,428,110.31,1.09,True
2023-01-28,northeurope,Container,50,1819,259,110.31,1.09,True
2023-01-28,northeurope,VM,93,833,336,110.31,1.09,True
2023-01-28,eastus,Container,89,820,300,110.31,1.09,True
2023-01-28,eastus,Storage,93,1397,212,110.31,1.09,True
2023-01-28,eastus,VM,59,760,337,110.31,1.09,True
2023-01-28,northeurope,Storage,83,1087,234,110.31,1.09,True
2023-01-29,southeastasia,Storage,57,1053,214,91.61,0.97,True
2023-01-29,westus,Container,87,1546,262,91.61,0.97,True
2023-01-29,westus,Storage,89,1299,378,91.61,0.97,True
2023-01-29,westus,VM,67,795,494,91.61,0.97,True
2023-01-29,southeastasia,Container,96,1812,430,91.61,0.97,True
2023-01-29,southeastasia,VM,55,1078,378,91.61,0.97,True
2023-01-29,eastus,Container,74,1565,288,91.61,0.97,True
2023-01-29,northeurope,Storage,66,1748,303,91.61,0.97,True
2023-01-29,northeurope,Container,89,1562,397,91.61,0.97,True
2023-01-29,eastus,Storage,75,1073,331,91.61,0.97,True
2023-01-29,eastus,VM,68,1902,277,91.61,0.97,True
2023-01-29,northeurope,VM,64,1492,352,91.61,0.97,True
2023-01-30,southeastasia,Container,85,1815,481,103.31,1.1,False
2023-01-30,eastus,VM,76,919,356,103.31,1.1,False
2023-01-30,eastus,Storage,87,1964,296,103.31,1.1,False
2023-01-30,eastus,Container,86,1934,488,103.31,1.1,False
2023-01-30,northeurope,VM,94,715,383,103.31,1.1,False
2023-01-30,northeurope,Storage,64,1680,335,103.31,1.1,False
2023-01-30,northeurope,Container,54,1680,246,103.31,1.1,False
2023-01-30,southeastasia,VM,53,1343,372,103.31,1.1,False
2023-01-30,southeastasia,Storage,51,1934,294,103.31,1.1,False
2023-01-30,westus,VM,53,1097,209,103.31,1.1,False
2023-01-30,westus,Storage,54,1364,317,103.31,1.1,False
2023-01-30,westus,Container,87,1682,427,103.31,1.1,False
2023-01-31,westus,VM,55,1211,222,95.21,0.98,False
2023-01-31,westus,Storage,96,845,417,95.21,0.98,False
2023-01-31,eastus,Container,59,1371,237,95.21,0.98,False
2023-01-31,southeastasia,Container,58,1513,250,95.21,0.98,False
2023-01-31,westus,Container,62,1457,409,95.21,0.98,False
2023-01-31,southeastasia,Storage,98,1103,486,95.21,0.98,False
2023-01-31,eastus,VM,92,1806,268,95.21,0.98,False
2023-01-31,northeurope,Container,61,1503,332,95.21,0.98,False
2023-01-31,northeurope,Storage,89,1327,370,95.21,0.98,False
2023-01-31,northeurope,VM,74,1492,310,95.21,0.98,False
2023-01-31,eastus,Storage,69,510,453,95.21,0.98,False
2023-01-31,southeastasia,VM,86,626,305,95.21,0.98,False
2023-02-01,westus,VM,85,1705,200,88.94,0.88,False
2023-02-01,westus,Storage,89,1160,336,88.94,0.88,False
2023-02-01,eastus,Container,95,1928,309,88.94,0.88,False
2023-02-01,southeastasia,Container,55,1684,376,88.94,0.88,False
2023-02-01,westus,Container,59,1959,316,88.94,0.88,False
2023-02-01,southeastasia,Storage,73,524,379,88.94,0.88,False
2023-02-01,eastus,VM,78,1985,495,88.94,0.88,False
2023-02-01,northeurope,Container,51,1733,216,88.94,0.88,False
2023-02-01,northeurope,Storage,74,574,493,88.94,0.88,False
2023-02-01,northeurope,VM,75,1436,490,88.94,0.88,False
2023-02-01,eastus,Storage,90,1278,456,88.94,0.88,False
2023-02-01,southeastasia,VM,92,1454,450,88.94,0.88,False
2023-02-02,westus,Container,89,1060,456,108.13,1.14,False
2023-02-02,westus,Storage,71,975,262,108.13,1.14,False
2023-02-02,westus,VM,90,1188,347,108.13,1.14,False
2023-02-02,southeastasia,Container,96,1509,393,108.13,1.14,False
2023-02-02,southeastasia,Storage,67,1268,277,108.13,1.14,False
2023-02-02,southeastasia,VM,65,1947,218,108.13,1.14,False
2023-02-02,northeurope,Storage,68,1841,231,108.13,1.14,False
2023-02-02,northeurope,VM,81,1664,414,108.13,1.14,False
2023-02-02,eastus,Container,56,1348,283,108.13,1.14,False
2023-02-02,eastus,Storage,75,655,248,108.13,1.14,False
2023-02-02,eastus,VM,78,562,349,108.13,1.14,False
2023-02-02,northeurope,Container,79,784,485,108.13,1.14,False
2023-02-03,westus,Container,77,1701,207,99.28,1.1,False
2023-02-03,westus,Storage,59,661,286,99.28,1.1,False
2023-02-03,westus,VM,88,1299,465,99.28,1.1,False
2023-02-03,southeastasia,Container,83,595,287,99.28,1.1,False
2023-02-03,southeastasia,Storage,82,1506,463,99.28,1.1,False
2023-02-03,southeastasia,VM,96,1752,266,99.28,1.1,False
2023-02-03,northeurope,Container,57,1577,448,99.28,1.1,False
2023-02-03,northeurope,VM,50,812,446,99.28,1.1,False
2023-02-03,eastus,Container,50,1787,254,99.28,1.1,False
2023-02-03,eastus,Storage,79,1446,331,99.28,1.1,False
2023-02-03,eastus,VM,77,1636,313,99.28,1.1,False
2023-02-03,northeurope,Storage,52,942,454,99.28,1.1,False
2023-02-04,westus,Container,68,1904,235,103.62,0.94,True
2023-02-04,westus,Storage,82,650,284,103.62,0.94,True
2023-02-04,westus,VM,97,506,462,103.62,0.94,True
2023-02-04,southeastasia,Container,79,1404,425,103.62,0.94,True
2023-02-04,southeastasia,Storage,54,1304,455,103.62,0.94,True
2023-02-04,southeastasia,VM,72,1642,219,103.62,0.94,True
2023-02-04,northeurope,Container,69,1245,394,103.62,0.94,True
2023-02-04,northeurope,Storage,51,1314,396,103.62,0.94,True
2023-02-04,northeurope,VM,78,1199,281,103.62,0.94,True
2023-02-04,eastus,Container,70,1409,422,103.62,0.94,True
2023-02-04,eastus,Storage,95,990,364,103.62,0.94,True
2023-02-04,eastus,VM,63,1811,319,103.62,0.94,True
2023-02-05,westus,Storage,63,1020,239,103.61,1.15,True
2023-02-05,westus,VM,66,1638,408,103.61,1.15,True
2023-02-05,southeastasia,Container,70,541,240,103.61,1.15,True
2023-02-05,southeastasia,Storage,86,574,345,103.61,1.15,True
2023-02-05,southeastasia,VM,94,1109,414,103.61,1.15,True
2023-02-05,westus,Container,51,736,480,103.61,1.15,True
2023-02-05,northeurope,Storage,71,1758,203,103.61,1.15,True
2023-02-05,northeurope,VM,88,1724,445,103.61,1.15,True
2023-02-05,eastus,Container,95,627,423,103.61,1.15,True
2023-02-05,eastus,Storage,66,1213,357,103.61,1.15,True
2023-02-05,eastus,VM,93,1353,479,103.61,1.15,True
2023-02-05,northeurope,Container,75,941,228,103.61,1.15,True
2023-02-06,westus,Storage,89,1109,467,99.64,1.16,False
2023-02-06,westus,VM,80,1145,418,99.64,1.16,False
2023-02-06,southeastasia,Container,98,686,494,99.64,1.16,False
2023-02-06,southeastasia,Storage,89,510,363,99.64,1.16,False
2023-02-06,southeastasia,VM,78,648,466,99.64,1.16,False
2023-02-06,westus,Container,94,1320,372,99.64,1.16,False
2023-02-06,northeurope,Storage,95,629,392,99.64,1.16,False
2023-02-06,northeurope,VM,66,1421,389,99.64,1.16,False
2023-02-06,eastus,Container,72,841,226,99.64,1.16,False
